,Rating,Total_Reviews,SME_Data,Distance,Check_Web,Check_Telepon,Label
74,4.6,4066,2,0.2078619288769799,1,1,2
75,4.5,4062,1,0.7330456360936111,0,1,1
76,4.5,4062,2,0.9620550491020318,1,1,2
77,4.4,4025,2,0.16378421862747794,1,1,2
78,4.4,3970,1,0.09710394303233043,0,1,1
79,4.3,3834,2,0.6654402545850322,1,1,2
80,4.3,3813,1,3.294718887576473,0,1,1
81,4.3,3790,2,0.7308793721741002,1,1,2
82,4.3,3786,1,0.22836287856989385,0,1,1
83,4.5,3754,1,0.31713311112594117,0,1,1
84,4.6,3732,2,1.6656263688238162,1,1,2
85,4.4,3672,1,0.8892477354153934,0,1,1
86,4.5,3628,0,0.6827150021566771,0,0,0
87,4.2,3581,2,0.6337278657938992,1,1,2
88,4.6,3542,2,0.8101257217292194,1,1,2
89,4.5,3535,2,1.5113780836961461,1,1,2
90,4.4,3501,1,0.5406605379789602,0,1,1
91,4.6,3498,2,6.142162133291848,1,1,2
92,4.6,3474,1,0.46002671272892603,0,1,1
93,4.4,3473,2,0.2977330836750129,1,1,2
94,4.5,3432,2,0.2752962492432491,1,1,2
95,4.3,3431,0,1.1603304204902871,0,0,0
96,4.5,3418,2,0.20252334188153143,1,1,2
97,4.5,3412,1,0.5210730632384458,0,1,1
98,4.5,3401,1,0.29845951844643376,0,1,1
99,4.5,3380,2,0.6646705716932466,1,1,2
100,4.6,3367,1,0.23934864486056606,0,1,1
101,4.5,3251,1,0.40054208270260305,0,1,1
102,4.5,3239,2,0.3560269360539301,1,1,2
103,4.3,3218,2,0.38142310927050516,1,1,2
104,4.3,3216,1,0.6512823801352663,0,1,1
105,4.5,3199,2,0.3211538079866307,1,1,2
106,4.5,3162,2,0.2999404211925823,1,1,2
107,4.4,3158,1,0.1906039008423133,1,0,2
108,4.5,3152,2,0.3127276933119717,1,1,2
109,4.4,3151,0,0.40631027278581516,0,1,1
110,4.5,3129,2,0.5974598594608951,1,1,2
111,4.3,3127,0,1.5642842378013884,0,1,1
112,4.4,3107,2,0.4965691018812495,1,1,2
113,4.5,3068,2,0.7377501231130071,1,1,2
114,4.5,3058,2,0.5312224770200707,1,1,2
115,4.5,3055,2,0.5387757421807374,1,1,2
116,4.5,3050,1,0.9615122455467431,0,1,1
117,4.4,3045,2,0.3925942481395039,1,1,2
118,4.6,3005,0,0.736855757601566,0,1,1
119,4.4,2999,1,0.1952458821529503,0,1,1
120,4.3,2958,1,0.0628680782263672,0,1,1
121,4.6,2929,2,1.0470557814571586,1,1,2
122,4.5,2901,1,0.30196114148260733,0,1,1
123,4.4,2895,1,0.1327957117605231,0,1,1
124,4.5,2876,0,0.40045948448167124,0,0,0
125,4.3,2876,1,0.4633668417262375,0,1,1
126,4.3,2831,2,0.14203607005521585,1,1,2
127,4.5,2809,1,0.21798298184086545,0,1,1
128,4.2,2798,1,0.7880549953291806,0,1,1
129,4.4,2739,0,0.643697448079794,0,1,1
130,4.2,2731,2,0.539209033010865,1,1,2
131,4.4,2717,1,0.35503233286876396,0,1,1
132,4.4,2705,1,0.7492345043392984,0,1,1
133,4.4,2700,1,0.7600774912063114,0,1,1
134,4.4,2694,0,0.17060719256587809,0,0,0
135,4.5,2688,2,0.6848361710502234,1,1,2
136,4.3,2686,2,0.5729319391719668,1,1,2
137,4.3,2675,2,0.31436047932976957,1,1,2
138,4.3,2647,2,1.6283774516559855,1,1,2
139,4.5,2603,2,0.8578642102543885,1,1,2
140,4.3,2599,2,0.14478294436091368,1,1,2
141,4.5,2595,1,0.02939152317459674,0,1,1
142,4.3,2593,2,0.8516203223320875,1,1,2
143,4.7,2592,2,0.869874203877509,1,1,2
144,4.6,2590,2,0.22823581655942665,1,1,2
145,4.7,2586,2,0.869874203877509,1,1,2
146,4.2,2562,2,0.24865850907344705,1,1,2
147,4.5,2553,1,0.8257623734419217,0,1,1
148,4.0,2551,1,0.5213335771802771,0,1,1
149,4.3,2549,1,0.508193578647172,0,1,1
150,4.4,2544,1,0.24993489570424926,0,1,1
151,4.5,2486,2,0.09382146662694477,1,1,2
152,4.4,2485,2,0.7010553118083932,1,1,2
153,4.5,2483,2,0.43653622806874903,1,1,2
154,4.5,2481,2,0.49228616529935315,1,1,2
155,4.5,2474,1,2.699257694520048,0,1,1
156,4.5,2453,0,0.17880229012462223,0,0,0
157,4.3,2432,0,0.38620870063254836,0,0,0
158,4.4,2428,1,0.2738917328154042,0,1,1
159,4.3,2418,2,0.16770201615700955,1,1,2
160,4.4,2409,2,0.6516223094390152,1,1,2
161,4.4,2374,2,0.28236046209763016,1,1,2
162,4.3,2348,2,1.5976738773103194,1,1,2
163,4.3,2345,2,0.27609805904443807,1,1,2
164,4.4,2344,1,0.3593299531134593,0,1,1
165,4.5,2337,2,0.39491780999018616,1,1,2
166,4.7,2322,2,2.212010641201159,1,1,2
167,4.2,2311,2,0.5455203584623157,1,1,2
168,4.2,2294,1,0.32137401050803616,0,1,1
169,4.5,2286,1,0.21693679581051495,0,1,1
170,4.4,2265,2,0.7953899896950712,1,1,2
171,4.3,2261,1,0.09963533248463087,0,1,1
172,4.6,2259,2,0.21821062850696962,1,1,2
173,4.2,2253,1,0.4407170814931932,0,1,1
174,4.3,2229,2,0.20157842208025717,1,1,2
175,4.4,2204,2,0.47445237718967936,1,1,2
176,4.5,2193,1,0.404994135592184,0,1,1
177,4.5,2184,2,0.09197170045031144,1,1,2
178,4.5,2180,1,1.1489031320738239,0,1,1
179,4.3,2178,1,0.5760771688058837,0,1,1
180,4.6,2174,2,0.5729311092133085,1,1,2
181,4.3,2152,1,1.3550758216574952,0,1,1
182,4.8,2141,2,0.6611275823738996,1,1,2
183,4.5,2133,1,0.44061658329408937,0,1,1
184,4.2,2131,0,0.44515786077708136,0,0,0
185,4.5,2128,2,1.5551160263806842,1,1,2
186,4.5,2110,2,0.3611836194228767,1,1,2
187,4.4,2090,1,6.918789252935523,0,1,1
188,4.6,2071,2,0.19173883780270243,1,1,2
189,4.3,2068,2,0.23106021366121726,1,1,2
190,4.1,2052,2,1.11339442967036,1,1,2
191,4.6,2051,2,1.6058121112072405,1,1,2
192,4.4,2032,1,0.41520951076289536,0,1,1
193,4.5,2026,2,0.4256925187599416,1,1,2
194,4.3,2003,2,0.2870144677544576,1,1,2
195,4.6,1994,2,0.4892584254822819,1,1,2
196,4.4,1979,1,0.19290278457515728,0,1,1
197,4.4,1969,1,0.10606645372187493,0,1,1
198,4.5,1967,1,0.1646451512312992,0,1,1
199,4.6,1958,2,0.5585860396752238,1,1,2
200,4.5,1948,0,0.18160977236203232,0,1,1
201,4.5,1930,2,0.29207909848749486,1,1,2
202,4.8,1920,1,0.8669580613860375,1,0,2
203,4.4,1914,2,0.2818256228679964,1,1,2
204,4.5,1907,2,0.5363971495022732,1,1,2
205,4.3,1899,2,0.09885353964634538,1,1,2
206,4.5,1884,2,0.19566519827544662,1,1,2
207,4.4,1846,2,0.38967638002249055,1,1,2
208,4.3,1837,2,0.26408088152696496,1,1,2
209,4.3,1822,1,0.24121892902282,0,1,1
210,4.4,1820,1,0.3327107356981798,0,1,1
211,4.6,1818,2,0.47665173436720376,1,1,2
212,4.5,1810,2,0.19459432008185756,1,1,2
213,4.5,1803,2,0.14220324729478614,1,1,2
214,4.5,1802,2,0.4519394358717898,1,1,2
215,4.5,1788,0,0.925773844671144,0,0,0
216,4.2,1769,0,0.8361857920834023,0,0,0
217,4.6,1764,1,0.8905200459581802,0,1,1
218,4.6,1757,2,0.8640826971782988,1,1,2
219,4.3,1748,2,0.22775687255248422,1,1,2
220,4.3,1735,2,0.6542412856796954,1,1,2
221,4.4,1734,2,0.28895263765730295,1,1,2
222,4.5,1733,1,0.290159488060059,0,1,1
223,4.5,1727,2,0.7270040758819051,1,1,2
224,4.4,1717,1,1.9451827478087822,0,1,1
225,4.2,1710,2,2.116150005861187,1,1,2
226,4.6,1709,1,0.6937644042154575,0,1,1
227,4.4,1704,1,0.5306021597152267,0,1,1
228,4.2,1704,0,0.5385564716408069,0,0,0
229,4.5,1700,2,0.5530264992235588,1,1,2
230,4.5,1698,2,0.41913405827789435,1,1,2
231,4.3,1689,2,1.8922835491823564,1,1,2
232,4.4,1680,2,0.42057244692940904,1,1,2
233,4.4,1673,2,0.6330692472132008,1,1,2
234,4.2,1667,1,8.134748192207315,0,1,1
235,4.4,1648,2,0.6302492004747432,1,1,2
236,4.1,1630,2,2.4512610012748226,1,1,2
237,4.3,1629,1,0.3103663412823016,0,1,1
238,4.5,1627,2,0.20947306942764682,1,1,2
239,4.6,1622,2,0.4762403145576109,1,1,2
240,4.6,1619,2,0.33060116738884304,1,1,2
241,4.5,1616,1,1.0608264337130608,0,1,1
242,4.2,1615,1,0.4179797339528192,0,1,1
243,4.3,1598,1,0.45958975513986033,0,1,1
244,4.0,1590,1,0.5334592273648925,0,1,1
245,4.4,1586,2,0.3529288066690797,1,1,2
246,4.4,1585,2,0.6155515819476581,1,1,2
247,4.4,1580,2,0.22931359172872132,1,1,2
248,4.5,1577,2,0.2340999193995712,1,1,2
249,4.5,1577,1,1.834822469665965,0,1,1
250,4.5,1576,2,0.46441388115185156,1,1,2
251,4.5,1575,1,0.5179191442975016,0,1,1
252,4.2,1570,2,1.1522398056630347,1,1,2
253,4.5,1564,0,0.3549143734927481,0,0,0
254,4.4,1562,2,0.9360084115888676,1,1,2
255,4.6,1554,2,0.36787338201042186,1,1,2
256,4.5,1553,1,0.22672009350780908,0,1,1
257,4.5,1552,2,0.36460722932108103,1,1,2
258,4.5,1544,2,0.979377475109575,1,1,2
259,4.6,1536,1,0.38574181770751637,0,1,1
260,4.5,1532,1,0.15309813092771715,0,1,1
261,4.4,1526,2,0.7057216067393264,1,1,2
262,4.6,1522,2,0.39535294888120304,1,1,2
263,4.2,1519,1,0.6327298796896843,0,1,1
264,4.3,1519,2,0.7233763048639901,1,1,2
265,4.4,1518,2,0.13970592162544299,1,1,2
266,4.4,1513,2,0.1951980741079376,1,1,2
267,4.5,1508,2,0.6626183494417803,1,1,2
268,4.3,1491,2,0.6108078054040073,1,1,2
269,4.7,1489,2,0.40715931439080116,1,1,2
270,2.3,1489,2,1.068931026220316,1,1,2
271,4.2,1474,0,0.24561523154114648,0,0,0
272,4.5,1472,2,1.7823576922013686,1,1,2
273,4.5,1467,0,0.20617444251738934,0,1,1
274,4.5,1456,1,0.9329405516304603,0,1,1
275,4.5,1455,2,0.9709673761909664,1,1,2
276,4.6,1453,2,0.8493542419424811,1,1,2
277,4.5,1451,1,1.2961735388135927,0,1,1
278,4.3,1446,1,0.3996041594214063,0,1,1
279,4.4,1435,2,0.5441583036189724,1,1,2
280,4.5,1430,2,0.2780980768492901,1,1,2
281,4.4,1421,2,0.394985679791725,1,1,2
282,4.4,1416,0,0.3351716363618272,0,0,0
283,4.6,1412,0,0.3382152136153638,0,0,0
284,4.3,1412,1,0.4537602394625378,0,1,1
285,4.5,1411,2,0.41083454177878725,1,1,2
286,4.5,1408,1,0.26923596891426665,0,1,1
287,4.3,1406,0,0.1899709148257257,0,0,0
288,4.2,1394,2,4.462977797889798,1,1,2
289,4.5,1388,2,0.21556024971660023,1,1,2
290,4.5,1387,2,3.732184170120072,1,1,2
291,4.3,1385,2,0.52184819365861,1,1,2
292,4.3,1384,1,0.28579040223999697,0,1,1
293,4.2,1378,2,0.25717654542066615,1,1,2
294,4.2,1378,0,1.10217766868928,0,0,0
295,4.6,1369,2,2.5535663150809604,1,1,2
296,4.6,1363,2,0.24791146010396695,1,1,2
297,4.5,1360,2,0.18226706724129227,1,1,2
298,4.4,1360,2,0.2443840355287305,1,1,2
299,4.6,1360,1,0.5481269719742541,0,1,1
300,4.2,1358,1,0.23969096635051257,0,1,1
301,4.5,1354,0,0.14002766891657473,0,0,0
302,4.2,1354,1,0.3524100430433358,0,1,1
303,4.3,1350,2,0.45601788443233293,1,1,2
304,4.2,1349,2,2.5089542528159003,1,1,2
305,4.5,1342,1,1.092195752899283,0,1,1
306,4.3,1333,2,0.8211235208745663,1,1,2
307,4.4,1332,0,1.2833899943239497,0,1,1
308,4.5,1325,2,0.3202954637324375,1,1,2
309,4.6,1323,2,0.8747382535473852,1,1,2
310,4.4,1320,2,0.278611678371905,1,1,2
311,4.4,1315,1,0.5593495263251289,0,1,1
312,4.5,1312,2,0.5093861785675601,1,1,2
313,4.4,1311,1,0.577539248575518,0,1,1
314,4.6,1307,2,1.66939387199828,1,1,2
315,4.3,1306,1,0.1816621319124284,0,1,1
316,4.6,1290,2,0.42895481739810404,1,1,2
317,4.6,1288,1,0.39125618957762487,0,1,1
318,4.3,1288,1,0.6658425506224404,0,1,1
319,4.5,1286,1,0.3002133769010978,0,1,1
320,4.4,1282,1,0.7476523976247539,0,1,1
321,4.6,1279,2,0.3743543114625745,1,1,2
322,4.3,1277,2,1.2312793330290284,1,1,2
323,4.4,1273,2,0.5181615872266527,1,1,2
324,4.5,1266,2,0.3436692498488796,1,1,2
325,4.5,1266,2,0.3636642147381321,1,1,2
326,4.5,1263,1,0.15494737647242313,0,1,1
327,4.6,1263,2,2.2324039273710965,1,1,2
328,4.5,1260,1,0.2978056409987711,0,1,1
329,4.5,1259,1,0.526395586728064,0,1,1
330,4.5,1255,1,0.9927730341950174,0,1,1
331,4.5,1255,1,1.5557833552910527,0,1,1
332,4.5,1255,1,1.5653472033754927,0,1,1
333,4.5,1250,2,1.4017340650109757,1,1,2
334,4.4,1246,2,0.42620745255618037,1,1,2
335,4.1,1236,2,0.7059712766470169,1,1,2
336,4.4,1231,1,0.1869345268057144,0,1,1
337,4.5,1231,2,2.4844432779280154,1,1,2
338,4.4,1230,2,0.6709640791968425,1,1,2
339,4.5,1229,2,1.4655720271921462,1,1,2
340,4.4,1224,1,0.8854496294941728,0,1,1
341,4.3,1222,1,0.24746886580880878,0,1,1
342,4.6,1222,1,0.2866314220236351,0,1,1
343,4.6,1219,2,0.35628287007502624,1,1,2
344,4.4,1203,1,0.8582548093748195,0,1,1
345,4.6,1198,2,0.4755952450115664,1,1,2
346,4.3,1197,1,0.6666038154432291,0,1,1
347,4.5,1195,2,0.4894323389644855,1,1,2
348,4.5,1195,2,0.5976200449973795,1,1,2
349,4.3,1182,2,0.3466525636911195,1,1,2
350,4.6,1171,2,0.30798810885889194,1,1,2
351,4.4,1171,1,0.3514216175123895,0,1,1
352,4.2,1171,2,0.5302678666321953,1,1,2
353,4.3,1171,2,0.7756570832300654,1,1,2
354,4.3,1170,0,0.22738268170172418,0,0,0
355,4.6,1167,2,0.28925579415579894,1,1,2
356,4.6,1165,2,0.24430672573405718,1,1,2
357,4.3,1165,2,0.8325346120662225,1,1,2
358,4.4,1161,2,0.19300260163712538,1,1,2
359,4.4,1135,1,0.5056778291332592,0,1,1
360,4.6,1135,2,0.9087418823823392,1,1,2
361,4.3,1133,1,0.8349758647223781,0,1,1
362,4.1,1129,0,0.27106858396603384,0,1,1
363,4.4,1116,1,0.14453866563241285,0,1,1
364,4.3,1109,0,0.5043187660408459,0,0,0
365,4.5,1108,1,0.5201407538489629,0,1,1
366,4.0,1107,2,0.4497288128933074,1,1,2
367,4.2,1106,1,0.7826172373237777,0,1,1
368,4.6,1095,1,0.35508822421410424,0,1,1
369,4.6,1094,2,0.20131160326744782,1,1,2
370,4.5,1079,2,0.562885092447862,1,1,2
371,4.6,1078,2,0.45300194329884635,1,1,2
372,4.5,1077,1,0.6930010738219662,0,1,1
373,4.3,1076,1,0.42618479197624565,0,1,1
374,4.5,1076,2,2.0409181090405655,1,1,2
375,4.4,1069,2,0.4777647403666355,1,1,2
376,4.5,1067,1,0.4885590864283551,0,1,1
377,4.3,1066,1,0.5067860771195429,0,1,1
378,4.4,1065,2,0.41435208041641786,1,1,2
379,4.5,1064,1,0.19089117884266768,0,1,1
380,4.5,1063,0,0.5129003336245344,0,1,1
381,4.6,1058,1,0.6475540882081269,0,1,1
382,4.5,1057,2,1.0287811192841088,1,1,2
383,4.4,1054,2,0.3838226363868217,1,1,2
384,4.5,1053,2,0.23743850151696866,1,1,2
385,4.3,1051,1,1.463905860785026,0,1,1
386,4.5,1050,2,0.40006640819355277,1,1,2
387,4.5,1042,0,0.21502171181100127,0,0,0
388,4.3,1040,2,0.39698209496069925,1,1,2
389,4.3,1038,0,0.22194023118263811,0,1,1
390,4.1,1037,1,0.21314222933048044,0,1,1
391,4.3,1037,1,0.42434339930054055,0,1,1
392,4.2,1035,1,0.09035850233265491,0,1,1
393,4.2,1035,2,0.28214231358854003,1,1,2
394,4.4,1033,1,1.4966621960528688,0,1,1
395,4.4,1028,2,0.4305347222890306,1,1,2
396,4.3,1027,0,1.6470162308516647,0,0,0
397,4.4,1025,2,0.410294267185028,1,1,2
398,4.6,1025,1,1.4411758188956687,0,1,1
399,4.7,1016,2,0.47738797470082744,1,1,2
400,4.6,1014,1,1.4744422325594986,0,1,1
401,4.4,1013,1,3.7946255623118708,0,1,1
402,4.5,1009,2,0.27872109650967425,1,1,2
403,4.5,1004,2,0.9591744338305492,1,1,2
404,4.4,1003,2,0.673227709229069,1,1,2
405,4.3,1002,2,0.4070049483793103,1,1,2
406,4.4,999,1,0.46010733487039945,0,1,1
407,4.4,998,1,0.7037347434679153,0,1,1
408,4.5,990,1,0.2689658209974644,0,1,1
409,4.3,990,2,0.8801362993929559,1,1,2
410,4.6,985,1,0.2631009176497205,0,1,1
411,4.2,983,0,0.46919965879028214,0,0,0
412,4.3,979,0,1.4447288934981581,0,0,0
413,4.3,978,2,1.6317562648116826,1,1,2
414,4.5,972,1,0.5745476304309445,0,1,1
415,4.3,972,2,0.6632709380763524,1,1,2
416,4.5,971,2,0.16395802989333325,1,1,2
417,4.2,971,0,0.3400321511837581,1,0,2
418,4.5,964,1,0.4059269225020149,0,1,1
419,4.5,964,1,1.2758931340216535,0,1,1
420,4.5,961,2,1.1436000531676265,1,1,2
421,4.5,960,0,1.0980672524628508,0,0,0
422,4.5,958,2,0.5258238869637191,1,1,2
423,4.2,958,1,2.4001405470958046,0,1,1
424,4.5,955,2,1.9795766076681247,1,1,2
425,4.4,954,0,0.11379106846318064,0,1,1
426,4.3,954,0,4.128589011078828,1,0,1
427,4.3,953,0,0.4322531238177968,0,1,1
428,4.6,951,1,0.14403100142172381,0,1,1
429,4.5,950,2,0.43650667255735753,1,1,2
430,4.3,950,1,0.8963517751887453,0,1,1
431,4.5,944,2,0.33176640415043274,1,1,2
432,4.6,944,2,0.6563892739835752,1,1,2
433,4.5,941,2,0.32159607958127456,1,1,2
434,4.5,939,2,5.7878090036742496,1,1,2
435,4.2,936,1,0.3394155567368126,0,1,1
436,4.4,935,2,0.3458448710194956,1,1,2
437,4.2,931,0,0.7276004316257338,0,0,0
438,4.4,930,1,0.4801697042902618,0,1,1
439,4.4,929,2,0.3343674725317973,1,1,2
440,4.5,925,1,1.5736686315817998,0,1,1
441,4.5,919,1,0.8534632250460961,0,1,1
442,4.5,917,1,0.3437833178667972,0,1,1
443,4.4,914,2,1.8581846395332005,1,1,2
444,4.4,912,2,0.14807726484987274,1,1,2
445,4.7,910,2,2.4898277081349027,1,1,2
446,4.5,909,0,0.6972152057796679,0,1,1
447,4.1,909,2,2.2922822080322156,1,1,2
448,4.4,907,1,0.3000453110585759,0,1,1
449,4.5,906,1,0.6841813285072972,0,1,1
450,4.3,901,1,0.4331412500908892,0,1,1
451,4.4,892,0,0.41387039090016897,0,0,0
452,4.6,892,0,0.501801482442763,0,0,0
453,4.5,890,2,1.020817127447118,1,1,2
454,4.4,887,1,0.17595050250510103,0,1,1
455,4.6,886,2,0.5931317182061243,1,1,2
456,4.2,882,2,0.48800756066805234,1,1,2
457,4.5,880,1,1.0092827653913996,0,1,1
458,4.4,878,1,0.42737871601310085,0,1,1
459,4.4,876,2,0.6452774104698695,1,1,2
460,4.6,875,0,0.3398712777327073,0,1,1
461,3.9,874,1,0.7867661538673786,0,1,1
462,4.4,871,2,0.2617271187580495,1,1,2
463,4.5,869,0,0.5585234427650572,0,0,0
464,4.5,869,2,0.7389507878541026,1,1,2
465,4.5,867,1,0.24162289080757288,0,1,1
466,4.4,867,2,0.8673726708176543,1,1,2
467,4.6,862,1,0.6002730839515793,0,1,1
468,4.5,861,1,0.6532544847898464,0,1,1
469,4.5,860,1,0.5738989031333737,0,1,1
470,4.2,856,2,0.5154666036874317,1,1,2
471,4.2,854,1,0.11950395734953777,0,1,1
472,4.6,853,2,0.7888778289739221,1,1,2
473,4.5,848,2,0.9365886205647301,1,1,2
474,4.3,845,0,0.4646871331117256,0,0,0
475,4.2,843,0,0.23041841568579316,0,0,0
476,4.4,842,0,0.8358903739294252,0,0,0
477,4.2,842,1,0.8714240448693625,1,1,2
478,4.6,837,2,0.3826780964010236,1,1,2
479,4.5,837,1,0.6600915250162008,0,1,1
480,4.6,837,2,0.8118078904506788,1,1,2
481,4.4,835,2,0.5046528274623887,1,1,2
482,4.5,835,2,1.6304323847248654,1,1,2
483,4.6,834,2,2.228946593668465,1,1,2
484,4.7,832,2,0.26575214289215626,1,1,2
485,4.6,831,1,0.44155865818179263,0,1,1
486,4.5,829,1,0.8161722120180821,0,1,1
487,4.1,825,2,0.4645150136587007,1,1,2
488,4.5,822,2,1.7156390455369428,1,1,2
489,4.7,821,2,0.32975591456290515,1,1,2
490,4.3,818,1,0.4416174959712643,0,1,1
491,4.4,818,2,0.9806974028745444,1,1,2
492,4.5,811,1,0.6997473618885002,0,1,1
493,4.5,808,2,0.8155030069284224,1,1,2
494,4.6,805,1,0.3794157932767092,0,1,1
495,4.4,804,2,0.20113371772911748,1,1,2
496,4.5,802,1,0.5720418752187107,0,1,1
497,4.4,800,1,0.4659997352110846,0,1,1
498,4.3,800,0,0.7957689010636773,0,0,0
499,4.0,800,0,1.0717762839631642,0,1,1
500,4.2,798,2,0.2627972435252722,1,1,2
501,4.4,798,1,0.8906832238698306,0,1,1
502,4.5,797,2,0.3060463045176012,1,1,2
503,4.3,797,0,0.6617231866981901,0,0,0
504,4.5,796,2,2.7354264441644545,1,1,2
505,4.8,795,2,4.265041619308398,1,1,2
506,4.5,794,2,0.6655822083857391,1,1,2
507,4.5,792,2,0.29842679007186407,1,1,2
508,4.4,787,1,0.725789253453383,0,1,1
509,4.7,787,2,1.4057564832410747,1,1,2
510,4.6,782,2,0.36962892364891264,1,1,2
511,4.6,782,0,0.6805968300112472,1,0,2
512,4.4,782,2,0.9593896755588357,1,1,2
513,4.2,779,0,0.2781539641547355,0,0,0
514,4.1,778,1,0.7918731616098835,0,1,1
515,4.5,774,1,0.5866886693299057,0,1,1
516,4.6,773,2,1.703594301147246,1,1,2
517,4.5,772,2,0.26505478705299734,1,1,2
518,4.5,770,2,2.5437301815139923,1,1,2
519,4.6,769,2,1.9422439331480534,1,1,2
520,4.4,766,2,0.5418639760150333,1,1,2
521,4.2,761,1,0.7638690806852224,0,1,1
522,4.0,761,2,0.7908944985805922,1,1,2
523,4.5,759,2,1.001789810780668,1,1,2
524,4.5,756,1,0.6065957464084952,0,1,1
525,4.6,756,0,0.6805968300112472,1,0,2
526,4.4,755,1,0.1725313649147184,0,1,1
527,4.4,754,2,0.6218034092642643,1,1,2
528,4.5,753,1,0.22708904367143956,0,1,1
529,4.6,753,2,0.3251475015351495,1,1,2
530,4.5,751,2,0.6224135330931274,1,1,2
531,4.5,750,0,0.30709062629801437,0,0,0
532,4.5,749,0,0.5497401902604362,0,1,1
533,4.3,747,2,2.1183833061724404,1,1,2
534,4.1,745,1,2.2192020164490924,1,0,2
535,4.3,743,1,0.6471412887615337,0,1,1
536,4.5,739,1,1.5385007912769313,0,1,1
537,4.3,739,2,4.882243765214296,1,1,2
538,4.3,736,0,0.5839067212217186,0,0,0
539,4.4,735,2,0.504623185542521,1,1,2
540,4.2,732,1,0.75049392724206,0,1,1
541,4.5,725,2,0.4121110939973239,1,1,2
